hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
3284,2026-01-02,17,0,0.3767,critical,0.099,3.8,US-101 S/B (VENTURA FREEWAY),34.15024758389337,-118.65191557432463,7
53,2026-01-02,6,0,0.343,critical,0.151,2.27,I-80 W/B,37.82797214346718,-122.3125239142691,4
773,2026-01-02,17,0,0.286,critical,0.1064,2.69,I-10 E/B (SAN BERNARDINO FREEWAY),34.067130940062086,-118.04355151935832,7
548,2026-01-02,17,0,0.1994,critical,0.1195,1.67,I-10 W/B,34.0627422950779,-117.28564968733627,8
337,2026-01-02,18,0,0.1782,critical,0.1133,1.57,I-280 N/B,37.32799417006896,-121.887733721425,4
1093,2026-01-02,18,0,0.1779,critical,0.0971,1.83,I-15 S/B,32.78540300502033,-117.11824167732448,11
392,2026-01-02,18,0,0.1732,critical,0.0904,1.92,SR-87 N/B,37.31973436187194,-121.89079824870194,4
192,2026-01-02,17,0,0.173,critical,0.1095,1.58,SR-65 N/B,38.79203186041489,-121.2942897465517,3
66,2026-01-02,18,0,0.1625,critical,0.079,2.06,I-80 E/B,37.77830367467608,-122.3974790818798,4
2810,2026-01-02,18,0,0.16,critical,0.0906,1.77,SR-60 W/B,33.940049845084566,-117.27748327777564,8
119,2026-01-02,18,0,0.1588,critical,0.0896,1.77,I-280 N/B,37.700426149543055,-122.47361148969712,4
810,2026-01-02,18,0,0.1585,critical,0.079,2.01,SR-134 E/B (VENTURA FREEWAY),34.15175536115617,-118.28795862684902,7
11,2026-01-02,15,0,0.157,critical,0.0969,1.62,I-80 E/B,38.22153694579977,-122.1377651520369,4
262,2026-01-02,17,0,0.156,critical,0.1036,1.51,I-880 S/B,37.5662680242383,-122.03761104937998,4
3408,2026-01-02,18,0,0.1518,critical,0.0977,1.55,VALLEY BL,34.0779407179468,-118.068027117475,7
1014,2026-01-02,18,0,0.15,critical,0.0866,1.73,I-5 N/B,33.172472137891816,-117.34602766445136,11
546,2026-01-02,16,0,0.1499,critical,0.0975,1.54,I-10 W/B,34.066606201597274,-117.26479480791464,8
100,2026-01-02,15,0,0.1495,critical,0.0982,1.52,I-80 E/B,37.87497196577323,-122.30470407566952,4
778,2026-01-02,15,0,0.1495,critical,0.0964,1.55,I-605 SOUTHBOUND,33.95794405148052,-118.08680734833374,7
244,2026-01-02,17,1,0.1463,critical,0.1057,1.38,SR-51 S/B,38.61448070979348,-121.42094581728452,3
3130,2026-01-02,17,0,0.1463,critical,0.1037,1.41,MAIN ST,33.782204414550044,-117.86913029809791,12
392,2026-01-02,17,0,0.1437,critical,0.1122,1.28,SR-87 N/B,37.31973436187194,-121.89079824870194,4
198,2026-01-02,17,0,0.1416,critical,0.0933,1.52,US-50 W/B,38.565429043820295,-121.50745352862197,3
829,2026-01-02,15,0,0.1415,critical,0.1018,1.39,I-10 E/B (SANTA MONICA FREEWAY),34.0382199243299,-118.31354818979295,7
885,2026-01-02,15,1,0.1415,critical,0.1025,1.38,I-405 SOUTHBOUND,33.68723062637835,-117.87808978071892,12
3043,2026-01-02,18,0,0.1415,critical,0.087,1.63,SR-71 N/B (CHINO VALLEY FWY),34.03621070715194,-117.75834129967885,7
392,2026-01-02,16,0,0.1413,critical,0.109,1.3,SR-87 N/B,37.31973436187194,-121.89079824870194,4
3006,2026-01-02,15,0,0.141,critical,0.1093,1.29,NOGALES STREET,33.98731487408531,-117.89304255098658,7
213,2026-01-02,17,0,0.1383,critical,0.089,1.55,US-50 W/B,38.55129656279677,-121.43556132680922,3
56,2026-01-02,17,0,0.1371,critical,0.0951,1.44,I-80 W/B,37.84682300250585,-122.296034981633,4
3349,2026-01-02,17,0,0.1371,critical,0.1058,1.3,WOODBURY ROAD,34.18626101741415,-118.14974310874116,7
56,2026-01-02,16,0,0.1366,critical,0.1131,1.21,I-80 W/B,37.84682300250585,-122.296034981633,4
648,2026-01-02,8,0,0.1365,critical,0.1038,1.31,I-5 S/B,33.85534246226136,-117.97420819206592,12
395,2026-01-02,15,0,0.1358,critical,0.0789,1.72,I-880 S/B,37.33277396291885,-121.93358753777648,4
