hotspot_id,slot_date,slot_hour,crash_occurred,risk_score,risk_tier,baseline_rate,relative_risk,primary_road,center_lat,center_lng,district_id
53,2026-01-15,6,0,0.3865,critical,0.151,2.56,I-80 W/B,37.82797214346718,-122.3125239142691,3.0
2022,2026-01-15,17,0,0.2404,critical,0.1013,2.37,AIRPORT WY,37.95445832014117,-121.27823680493827,3.0
192,2026-01-15,17,0,0.1724,critical,0.1095,1.57,SR-65 N/B,38.79203186041489,-121.2942897465517,3.0
32,2026-01-15,17,0,0.1656,critical,0.0974,1.7,US-101 S/B,38.43306861706008,-122.71891226121843,3.0
301,2026-01-15,14,0,0.1629,critical,0.096,1.7,I-880 N/B,37.63805006494627,-122.08727445731316,3.0
66,2026-01-15,18,1,0.1588,critical,0.079,2.01,I-80 E/B,37.77830367467608,-122.3974790818798,3.0
27,2026-01-15,16,0,0.1541,critical,0.0975,1.58,US-101 N/B,38.36655330078752,-122.71474885729008,3.0
331,2026-01-15,6,0,0.1501,critical,0.0933,1.61,I-205 W/B,37.739953923122286,-121.53274980441093,3.0
107,2026-01-15,8,0,0.1486,critical,0.0886,1.68,I-280 S/B,37.632394409988194,-122.44151435636522,3.0
238,2026-01-15,8,0,0.1478,critical,0.0942,1.57,I-80 W/B,38.64833020006815,-121.369202070699,3.0
230,2026-01-15,17,0,0.1471,critical,0.1043,1.41,SR-99 N/B,38.54198782866921,-121.47779255502356,3.0
53,2026-01-15,8,0,0.1459,critical,0.0863,1.69,I-80 W/B,37.82797214346718,-122.3125239142691,3.0
2063,2026-01-15,17,1,0.1453,critical,0.0984,1.48,MAIN ST,37.95544774197923,-121.2393243140412,3.0
147,2026-01-15,18,1,0.145,critical,0.0794,1.83,US-101 S/B,37.988833408721646,-122.52953814009526,3.0
179,2026-01-15,18,0,0.1429,critical,0.0802,1.78,I-580 E/B,37.7027859090899,-121.76707148446654,3.0
230,2026-01-15,16,1,0.1414,critical,0.0899,1.57,SR-99 N/B,38.54198782866921,-121.47779255502356,3.0
179,2026-01-15,17,0,0.1378,critical,0.0896,1.54,I-580 E/B,37.7027859090899,-121.76707148446654,3.0
1530,2026-01-15,17,0,0.1378,critical,0.0791,1.74,MARKET ST,37.97079971313651,-122.04951278375846,3.0
1519,2026-01-15,15,0,0.1364,critical,0.1022,1.33,SR-4 E/B,38.00132663353749,-122.04768861491814,3.0
107,2026-01-15,18,0,0.1364,critical,0.0781,1.75,I-280 S/B,37.632394409988194,-122.44151435636522,3.0
178,2026-01-15,17,0,0.1344,critical,0.0868,1.55,I-580 EASTBOUND,37.7004438870495,-121.7775163481752,3.0
93,2026-01-15,16,0,0.1339,critical,0.0977,1.37,I-80 E/B,37.98643181128909,-122.31118994695356,3.0
111,2026-01-15,18,0,0.1337,critical,0.0766,1.75,US-101 S/B,37.60792229262618,-122.38396291621471,3.0
224,2026-01-15,18,1,0.1337,critical,0.0766,1.75,I-5 S/B,38.62979067670563,-121.52143129372485,3.0
186,2026-01-15,15,0,0.1333,high,0.092,1.45,I-80 E/B,38.76272292941004,-121.25714678797095,3.0
